yearstart,yearend,locationabbr,locationdesc,datasource,topic,question,datavalueunit,datavaluetype,datavalue,datavaluealt,lowconfidencelimit,highconfidencelimit,stratificationcategory1,stratification1,locationid,topicid,questionid,datavaluetypeid,stratificationcategoryid1,stratificationid1,:@computed_region_bxsw_vy29,:@computed_region_he4y_prf8,geolocation.latitude,geolocation.longitude,geolocation.human_address,datavaluefootnotesymbol,datavaluefootnote
2018,2018,WY,Wyoming,BRFSS,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,Crude Prevalence,64.7,64.7,62.8,66.5,Overall,Overall,56,OVC,OVC8_0,CRDPREV,OVERALL,OVR,14,3084,43.23554134300048,-108.10983035299967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,MT,Montana,BRFSS,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,Mean,1.6,1.6,0.7,2.5,Race/Ethnicity,Hispanic,30,OVC,OVC7_2,MEAN,RACE,HIS,2,2283,47.06652897200047,-109.42442064499971,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,ID,Idaho,BRFSS,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,%,Crude Prevalence,66.9,66.9,63.7,69.9,Gender,Female,16,ORH,ORH1_1,CRDPREV,GENDER,GENF,5,1687,43.682630005000476,-114.3637300419997,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,OK,Oklahoma,BRFSS,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,Crude Prevalence,52.9,52.9,45.6,60.1,Race/Ethnicity,"Black, non-Hispanic",40,OVC,OVC8_0,CRDPREV,RACE,BLK,20,712,35.47203135600046,-97.52107021399968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,ID,Idaho,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.0,3.0,2.5,3.4,Gender,Male,16,MTH,MTH1_0,AGEADJMEAN,GENDER,GENM,5,1687,43.682630005000476,-114.3637300419997,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,NY,New York,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,%,Crude Prevalence,11.4,11.4,10.2,12.7,Race/Ethnicity,"White, non-Hispanic",36,ORH,ORH4_1,CRDPREV,RACE,WHT,47,2092,42.82700103200045,-75.54397042699964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,OK,Oklahoma,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.8,4.8,4.4,5.2,Race/Ethnicity,"White, non-Hispanic",40,MTH,MTH1_0,MEAN,RACE,WHT,20,712,35.47203135600046,-97.52107021399968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,NY,New York,BRFSS,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,%,Age-adjusted Prevalence,63.5,63.5,59.6,67.2,Race/Ethnicity,"Other, non-Hispanic",36,ORH,ORH1_1,AGEADJPREV,RACE,OTH,47,2092,42.82700103200045,-75.54397042699964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,GU,Guam,BRFSS,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,Age-adjusted Prevalence,14.6,14.6,8.8,23.1,Overall,Overall,66,TOB,TOB11_1,AGEADJPREV,OVERALL,OVR,,,13.444304,144.793731,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,PR,Puerto Rico,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.5,3.5,3.0,4.0,Gender,Male,72,MTH,MTH1_0,AGEADJMEAN,GENDER,GENM,,3050,18.220833,-66.590149,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,FL,Florida,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,%,Crude Prevalence,60.6,60.6,57.9,63.2,Gender,Female,12,ORH,ORH4_3,CRDPREV,GENDER,GENF,30,1112,28.932040377000476,-81.92896053899966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,VI,Virgin Islands,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,%,Crude Prevalence,,,,,Race/Ethnicity,"Other, non-Hispanic",78,ORH,ORH4_3,CRDPREV,RACE,OTH,,,18.335765,-64.896335,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,MS,Mississippi,BRFSS,Oral Health,Six or more teeth lost among adults aged >= 65 years,%,Age-adjusted Prevalence,51.5,51.5,48.4,54.6,Overall,Overall,28,ORH,ORH4_2,AGEADJPREV,OVERALL,OVR,32,494,32.745510099000455,-89.53803082499968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,MD,Maryland,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,%,Crude Prevalence,65.1,65.1,63.3,66.9,Gender,Female,24,ORH,ORH4_3,CRDPREV,GENDER,GENF,45,1857,39.29058096400047,-76.60926011099963,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,KS,Kansas,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,%,Age-adjusted Prevalence,68.0,68.0,66.6,69.5,Race/Ethnicity,"White, non-Hispanic",20,ORH,ORH4_3,AGEADJPREV,RACE,WHT,17,1287,38.34774030000045,-98.20078122699965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,NH,New Hampshire,ACS 1-Year Estimates,Overarching Conditions,Poverty,%,Crude Prevalence,7.7,7.7,7.1,8.3,Overall,Overall,33,OVC,OVC3_1,CRDPREV,OVERALL,OVR,26,2405,43.65595011300047,-71.50036091999965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,KS,Kansas,BRFSS,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,Age-adjusted Prevalence,67.7,67.7,60.1,74.4,Overall,Overall,20,TOB,TOB11_2,AGEADJPREV,OVERALL,OVR,17,1287,38.34774030000045,-98.20078122699965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,ME,Maine,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,,,,,Overall,Overall,23,ALC,ALC2_1,CRDPREV,OVERALL,OVR,49,1725,45.254228894000505,-68.98503133599962,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",~,Data not shown because of too few respondents or cases
2017,2017,SC,South Carolina,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),$,US Dollars,0.77,0.77,,,Overall,Overall,45,ALC,ALC8_0_1,USD,OVERALL,OVR,33,2581,33.998821303000454,-81.04537120699968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,KS,Kansas,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,29.2,29.2,24.8,34.1,Gender,Male,20,ALC,ALC1_1,CRDPREV,GENDER,GENM,17,1287,38.34774030000045,-98.20078122699965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,IL,Illinois,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,32.1,32.1,31.5,32.7,Race/Ethnicity,"White, non-Hispanic",17,DIS,DIS1_0,CRDPREV,RACE,WHT,34,1795,40.48501028300046,-88.99771017799969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,SD,South Dakota,BRFSS,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,Crude Prevalence,74.9,74.9,64.6,82.9,Overall,Overall,46,TOB,TOB11_2,CRDPREV,OVERALL,OVR,21,2732,44.353130053000484,-100.3735306369997,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,MS,Mississippi,CMS Part A Claims Data,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,,Number,356,356,,,Race/Ethnicity,"Black, non-Hispanic",28,OLD,OLD1_0,NMBR,RACE,BLK,32,494,32.745510099000455,-89.53803082499968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,MT,Montana,BRFSS,Tobacco,Quit attempts in the past year among current smokers,%,Crude Prevalence,46.5,46.5,40.1,53.0,Gender,Male,30,TOB,TOB3_0,CRDPREV,GENDER,GENM,2,2283,47.06652897200047,-109.42442064499971,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,IA,Iowa,YRBSS,Tobacco,Current cigarette smoking among youth,%,Crude Prevalence,,,,,Race/Ethnicity,"Asian, non-Hispanic",19,TOB,TOB1_1,CRDPREV,RACE,ASN,16,281,42.46940091300047,-93.81649055599968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",~,Data not shown because of too few respondents or cases
2018,2018,IN,Indiana,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,40.2,40.2,31.2,50.0,Race/Ethnicity,"Multiracial, non-Hispanic",18,TOB,TOB1_2,AGEADJPREV,RACE,MRC,35,1904,39.766910452000445,-86.14996019399968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,MS,Mississippi,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,,,,,Gender,Male,28,ALC,ALC2_1,CRDPREV,GENDER,GENM,32,494,32.745510099000455,-89.53803082499968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",~,Data not shown because of too few respondents or cases
2017,2017,OR,Oregon,YRBSS,Tobacco,Current smokeless tobacco use among youth,%,Crude Prevalence,,,,,Race/Ethnicity,"White, non-Hispanic",41,TOB,TOB2_1,CRDPREV,RACE,WHT,12,2452,44.56744942400047,-120.15503132599969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2017,2017,MN,Minnesota,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,,,,,Race/Ethnicity,"Black, non-Hispanic",27,ALC,ALC1_1,CRDPREV,RACE,BLK,1,392,46.35564873600049,-94.79420050299967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2017,2017,DE,Delaware,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,15.2,15.2,12.0,19.1,Gender,Female,10,ALC,ALC2_1,CRDPREV,GENDER,GENF,43,1046,39.008830667000495,-75.57774116799965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,NE,Nebraska,YRBSS,Tobacco,Current cigarette smoking among youth,%,Crude Prevalence,7.0,7.0,4.7,10.3,Gender,Female,31,TOB,TOB1_1,CRDPREV,GENDER,GENF,19,2243,41.6410409880005,-99.36572062299967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,NC,North Carolina,YRBSS,"Nutrition, Physical Activity, and Weight Status",Television viewing among high school students,%,Crude Prevalence,16.5,16.5,14.6,18.5,Race/Ethnicity,"White, non-Hispanic",37,NPAW,NPAW20_0,CRDPREV,RACE,WHT,37,2390,35.466220975000454,-79.15925046299964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,WV,West Virginia,YRBSS,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,%,Crude Prevalence,41.7,41.7,37.6,45.9,Gender,Female,54,NPAW,NPAW21_0,CRDPREV,GENDER,GENF,42,2749,38.66551020200046,-80.71264013499967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,AR,Arkansas,BRFSS,Tobacco,Quit attempts in the past year among current smokers,%,Crude Prevalence,57.0,57.0,51.9,61.9,Race/Ethnicity,"White, non-Hispanic",05,TOB,TOB3_0,CRDPREV,RACE,WHT,15,998,34.74865012400045,-92.27449074299966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,DE,Delaware,YRBSS,Tobacco,Current smokeless tobacco use among youth,%,Crude Prevalence,3.5,3.5,2.2,5.6,Race/Ethnicity,Hispanic,10,TOB,TOB2_1,CRDPREV,RACE,HIS,43,1046,39.008830667000495,-75.57774116799965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,UT,Utah,YRBSS,Tobacco,Current cigarette smoking among youth,%,Crude Prevalence,4.3,4.3,3.0,6.1,Gender,Male,49,TOB,TOB1_1,CRDPREV,GENDER,GENM,13,900,39.360700171000474,-111.58713063499971,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,TN,Tennessee,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),$,US Dollars,1.21,1.21,,,Overall,Overall,47,ALC,ALC8_0_2,USD,OVERALL,OVR,39,2159,35.68094058000048,-85.77449091399967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,MN,Minnesota,YRBSS,Tobacco,Current cigarette smoking among youth,%,Crude Prevalence,,,,,Race/Ethnicity,Hispanic,27,TOB,TOB1_1,CRDPREV,RACE,HIS,1,392,46.35564873600049,-94.79420050299967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2017,2017,OR,Oregon,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,34.8,34.8,33.9,35.7,Race/Ethnicity,"White, non-Hispanic",41,DIS,DIS1_0,CRDPREV,RACE,WHT,12,2452,44.56744942400047,-120.15503132599969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,LA,Louisiana,BRFSS,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,Crude Prevalence,2.6,2.6,1.7,4.0,Race/Ethnicity,"Black, non-Hispanic",22,TOB,TOB2_2,CRDPREV,RACE,BLK,22,1697,31.31266064400046,-92.44568007099969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,IN,Indiana,YRBSS,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,%,Crude Prevalence,,,,,Overall,Overall,18,NPAW,NPAW1_2,CRDPREV,OVERALL,OVR,35,1904,39.766910452000445,-86.14996019399968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",~,Data not shown because of too few respondents or cases
2017,2017,PR,Puerto Rico,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,25.6,25.6,23.3,28.0,Gender,Female,72,ALC,ALC1_1,CRDPREV,GENDER,GENF,,3050,18.220833,-66.590149,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,GU,Guam,BRFSS,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,Age-adjusted Prevalence,6.2,6.2,3.7,10.2,Gender,Female,66,TOB,TOB2_2,AGEADJPREV,GENDER,GENF,,,13.444304,144.793731,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,ID,Idaho,ACS 1-Year Estimates,Overarching Conditions,Poverty,%,Crude Prevalence,14.1,14.1,13.2,15,Gender,Female,16,OVC,OVC3_1,CRDPREV,GENDER,GENF,5,1687,43.682630005000476,-114.3637300419997,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,WV,West Virginia,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Crude Prevalence,27.4,27.4,18.0,39.2,Race/Ethnicity,"Black, non-Hispanic",54,TOB,TOB1_2,CRDPREV,RACE,BLK,42,2749,38.66551020200046,-80.71264013499967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,TX,Texas,ACS 1-Year Estimates,Overarching Conditions,Poverty,%,Crude Prevalence,16.1,16.1,15.8,16.4,Gender,Female,48,OVC,OVC3_1,CRDPREV,GENDER,GENF,23,3109,31.827240407000488,-99.42677020599967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,IA,Iowa,BRFSS,Tobacco,Quit attempts in the past year among current smokers,%,Age-adjusted Prevalence,51.0,51.0,48.0,53.9,Overall,Overall,19,TOB,TOB3_0,AGEADJPREV,OVERALL,OVR,16,281,42.46940091300047,-93.81649055599968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,MA,Massachusetts,CMS Part A Claims Data,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,,Number,1731,1731,,,Gender,Male,25,OLD,OLD1_0,NMBR,GENDER,GENM,25,1919,42.27687047000046,-72.08269067499964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,GA,Georgia,CMS Part A Claims Data,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,,Number,5867,5867,,,Gender,Female,13,OLD,OLD1_0,NMBR,GENDER,GENF,31,1149,32.83968109300048,-83.62758034599966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,HI,Hawaii,ACS 1-Year Estimates,Overarching Conditions,Poverty,%,Crude Prevalence,5.9,5.9,5.2,6.6,Race/Ethnicity,"Asian, non-Hispanic",15,OVC,OVC3_1,CRDPREV,RACE,ASN,4,1657,21.304850435000446,-157.85774940299973,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,IN,Indiana,ACS 1-Year Estimates,Overarching Conditions,High school completion among adults aged 18-24 years,%,Crude Prevalence,83.0,83.0,,,Gender,Male,18,OVC,OVC2_1,CRDPREV,GENDER,GENM,35,1904,39.766910452000445,-86.14996019399968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,AZ,Arizona,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Crude Prevalence,12.3,12.3,7.5,19.6,Race/Ethnicity,"Black, non-Hispanic",04,TOB,TOB1_2,CRDPREV,RACE,BLK,7,986,34.865970280000454,-111.76381127699972,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,ME,Maine,YRBSS,"Nutrition, Physical Activity, and Weight Status",Television viewing among high school students,%,Crude Prevalence,31.3,31.3,25.5,37.8,Race/Ethnicity,"Black, non-Hispanic",23,NPAW,NPAW20_0,CRDPREV,RACE,BLK,49,1725,45.254228894000505,-68.98503133599962,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,US,United States,ACS 1-Year Estimates,Overarching Conditions,Poverty,%,Crude Prevalence,12.2,12.2,12.1,12.3,Gender,Male,59,OVC,OVC3_1,CRDPREV,GENDER,GENM,,,,,,,
2017,2017,KS,Kansas,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,35.3,35.3,34.1,36.5,Race/Ethnicity,"White, non-Hispanic",20,DIS,DIS1_0,CRDPREV,RACE,WHT,17,1287,38.34774030000045,-98.20078122699965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,TN,Tennessee,BRFSS,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,Crude Prevalence,1.9,1.9,1.2,2.9,Gender,Female,47,TOB,TOB2_2,CRDPREV,GENDER,GENF,39,2159,35.68094058000048,-85.77449091399967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,MI,Michigan,YRBSS,Tobacco,Current cigarette smoking among youth,%,Crude Prevalence,11.7,11.7,5.8,22.1,Race/Ethnicity,Hispanic,26,TOB,TOB1_1,CRDPREV,RACE,HIS,50,436,44.6613195430005,-84.71439026999968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,MA,Massachusetts,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),$,US Dollars,0.11,0.11,,,Overall,Overall,25,ALC,ALC8_0_1,USD,OVERALL,OVR,25,1919,42.27687047000046,-72.08269067499964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,VT,Vermont,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),$,US Dollars,0.27,0.27,,,Overall,Overall,50,ALC,ALC8_0_1,USD,OVERALL,OVR,28,3218,43.62538123900049,-72.51764079099962,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,TX,Texas,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,11.8,11.8,9.4,14.7,Gender,Male,48,ALC,ALC2_1,CRDPREV,GENDER,GENM,23,3109,31.827240407000488,-99.42677020599967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,KY,Kentucky,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),$,US Dollars,0.50,0.50,,,Overall,Overall,21,ALC,ALC8_0_2,USD,OVERALL,OVR,36,235,37.645970271000465,-84.77497104799966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,VI,Virgin Islands,BRFSS,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,Crude Prevalence,,,,,Gender,Female,78,TOB,TOB11_1,CRDPREV,GENDER,GENF,,,18.335765,-64.896335,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2017,2017,NE,Nebraska,YRBSS,Tobacco,Current smokeless tobacco use among youth,%,Crude Prevalence,2.3,2.3,1.0,5.1,Race/Ethnicity,Hispanic,31,TOB,TOB2_1,CRDPREV,RACE,HIS,19,2243,41.6410409880005,-99.36572062299967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,IA,Iowa,YRBSS,Tobacco,Current cigarette smoking among youth,%,Crude Prevalence,11.1,11.1,6.8,17.6,Gender,Female,19,TOB,TOB1_1,CRDPREV,GENDER,GENF,16,281,42.46940091300047,-93.81649055599968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,IN,Indiana,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Crude Prevalence,23.3,23.3,21.4,25.4,Gender,Male,18,TOB,TOB1_2,CRDPREV,GENDER,GENM,35,1904,39.766910452000445,-86.14996019399968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,UT,Utah,YRBSS,Tobacco,Current smokeless tobacco use among youth,%,Crude Prevalence,,,,,Race/Ethnicity,"Asian, non-Hispanic",49,TOB,TOB2_1,CRDPREV,RACE,ASN,13,900,39.360700171000474,-111.58713063499971,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",~,Data not shown because of too few respondents or cases
2017,2017,SC,South Carolina,ACS 1-Year Estimates,Overarching Conditions,Poverty,%,Crude Prevalence,13.9,13.9,13.5,14.3,Gender,Male,45,OVC,OVC3_1,CRDPREV,GENDER,GENM,33,2581,33.998821303000454,-81.04537120699968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,IN,Indiana,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Crude Prevalence,14.3,14.3,8.1,23.9,Race/Ethnicity,"Other, non-Hispanic",18,TOB,TOB1_2,CRDPREV,RACE,OTH,35,1904,39.766910452000445,-86.14996019399968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,WA,Washington,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,,Number,42610,42610,,,Race/Ethnicity,"White, non-Hispanic",53,COPD,COPD5_4,NMBR,RACE,WHT,6,2956,47.52227862900048,-120.47001078999972,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,RI,Rhode Island,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Crude Prevalence,9.5,9.5,5.5,16.1,Race/Ethnicity,"Black, non-Hispanic",44,TOB,TOB1_2,CRDPREV,RACE,BLK,27,2658,41.70828019300046,-71.52247031399963,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,NC,North Carolina,BRFSS,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,Age-adjusted Prevalence,28.5,28.5,17.7,42.4,Race/Ethnicity,"Black, non-Hispanic",37,TOB,TOB11_1,AGEADJPREV,RACE,BLK,37,2390,35.466220975000454,-79.15925046299964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,VA,Virginia,ACS 1-Year Estimates,Overarching Conditions,High school completion among adults aged 18-24 years,%,Crude Prevalence,89.0,89.0,,,Gender,Male,51,OVC,OVC2_1,CRDPREV,GENDER,GENM,40,2758,37.54268067400045,-78.45789046299967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,US,United States,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,47.4,47.4,45.8,49.0,Race/Ethnicity,American Indian or Alaska Native,59,DIS,DIS1_0,CRDPREV,RACE,AIAN,,,,,,,
2017,2017,MI,Michigan,ACS 1-Year Estimates,Overarching Conditions,Poverty,%,Crude Prevalence,,,,,Race/Ethnicity,American Indian or Alaska Native,26,OVC,OVC3_1,CRDPREV,RACE,AIAN,50,436,44.6613195430005,-84.71439026999968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",~,Data not shown because of too few respondents or cases
2018,2018,MI,Michigan,BRFSS,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,Crude Prevalence,2.9,2.9,2.5,3.4,Overall,Overall,26,TOB,TOB2_2,CRDPREV,OVERALL,OVR,50,436,44.6613195430005,-84.71439026999968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,CT,Connecticut,CMS Part A Claims Data,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,8.81,8.81,8.51,9.10,Overall,Overall,09,OLD,OLD1_0,AGEADJRATE,OVERALL,OVR,24,1043,41.56266102000046,-72.64984095199964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,AL,Alabama,ACS 1-Year Estimates,Overarching Conditions,Poverty,%,Crude Prevalence,18.5,18.5,17.9,19.1,Gender,Female,01,OVC,OVC3_1,CRDPREV,GENDER,GENF,29,94,32.84057112200048,-86.63186076199969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,AL,Alabama,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,20.6,20.6,18.8,22.5,Race/Ethnicity,"White, non-Hispanic",01,TOB,TOB1_2,AGEADJPREV,RACE,WHT,29,94,32.84057112200048,-86.63186076199969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,TN,Tennessee,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,16.7,16.7,11.4,23.9,Race/Ethnicity,"Black, non-Hispanic",47,ALC,ALC1_1,CRDPREV,RACE,BLK,39,2159,35.68094058000048,-85.77449091399967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,ME,Maine,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),$,US Dollars,0.35,0.35,,,Overall,Overall,23,ALC,ALC8_0_1,USD,OVERALL,OVR,49,1725,45.254228894000505,-68.98503133599962,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2017,2017,AL,Alabama,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,41.1,41.1,40.2,42.0,Overall,Overall,01,DIS,DIS1_0,CRDPREV,OVERALL,OVR,29,94,32.84057112200048,-86.63186076199969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
